Pin Num,Pin Name,IO Type,IOGroup,PowerDomain,IO_cfg_register,"Function_select
_register","fmux_
default",Description,Note
3,SD0_CLK,18OD33 IO,G10,VDDIO_SD0_SPI,"IOBLK_G10_REG_SD0_CLK
0x0300_1A00","FMUX_GPIO_REG_IOCTRL_SD0_CLK
0x0300_1000",0x0,"IO SD0_CLK function select : 
    0 : SDIO0_CLK (default)
    1 : IIC1_SDA 
    2 : SPI0_SCK 
    3 : XGPIOA[7] 
    5 : PWM[15] 
    6 : EPHY_LNK_LED 
    7 : DBG[0] 
    Others : Reserved",
4,SD0_CMD,18OD33 IO,G10,VDDIO_SD0_SPI,"IOBLK_G10_REG_SD0_CMD
0x0300_1A04","FMUX_GPIO_REG_IOCTRL_SD0_CMD
0x0300_1004",0x0,"IO SD0_CMD function select : 
    0 : SDIO0_CMD (default)
    1 : IIC1_SCL 
    2 : SPI0_SDO 
    3 : XGPIOA[8] 
    5 : PWM[14] 
    6 : EPHY_SPD_LED 
    7 : DBG[1] 
    Others : Reserved",
5,SD0_D0,18OD33 IO,G10,VDDIO_SD0_SPI,"IOBLK_G10_REG_SD0_D0
0x0300_1A08","FMUX_GPIO_REG_IOCTRL_SD0_D0
0x0300_1008",0x0,"IO SD0_D0 function select : 
    0 : SDIO0_D[0] (default)
    1 : CAM_MCLK1 
    2 : SPI0_SDI 
    3 : XGPIOA[9] 
    4 : UART3_TX 
    5 : PWM[13] 
    6 : WG0_D0 
    7 : DBG[2] 
    Others : Reserved",
7,SD0_D1,18OD33 IO,G10,VDDIO_SD0_SPI,"IOBLK_G10_REG_SD0_D1
0x0300_1A0c","FMUX_GPIO_REG_IOCTRL_SD0_D1
0x0300_100c",0x0,"IO SD0_D1 function select : 
    0 : SDIO0_D[1] (default)
    1 : IIC1_SDA 
    2 : AUX0 
    3 : XGPIOA[10] 
    4 : UART1_TX 
    5 : PWM[12] 
    6 : WG0_D1 
    7 : DBG[3] 
    Others : Reserved",
8,SD0_D2,18OD33 IO,G10,VDDIO_SD0_SPI,"IOBLK_G10_REG_SD0_D2
0x0300_1A10","FMUX_GPIO_REG_IOCTRL_SD0_D2
0x0300_1010",0x0,"IO SD0_D2 function select : 
    0 : SDIO0_D[2] (default)
    1 : IIC1_SCL 
    2 : AUX1 
    3 : XGPIOA[11] 
    4 : UART1_RX 
    5 : PWM[11] 
    6 : WG1_D0 
    7 : DBG[4] 
    Others : Reserved",
9,SD0_D3,18OD33 IO,G10,VDDIO_SD0_SPI,"IOBLK_G10_REG_SD0_D3
0x0300_1A14","FMUX_GPIO_REG_IOCTRL_SD0_D3
0x0300_1014",0x0,"IO SD0_D3 function select : 
    0 : SDIO0_D[3] (default)
    1 : CAM_MCLK0 
    2 : SPI0_CS_X 
    3 : XGPIOA[12] 
    4 : UART3_RX 
    5 : PWM[10] 
    6 : WG1_D1 
    7 : DBG[5] 
    Others : Reserved",
11,SD0_CD,18OD33 IO,G7,VDDIO_SD0_SPI,"IOBLK_G7_REG_SD0_CD
0x0300_1900","FMUX_GPIO_REG_IOCTRL_SD0_CD
0x0300_1018",0x0,"IO SD0_CD function select : 
    0 : SDIO0_CD (default)
    3 : XGPIOA[13] 
    Others : Reserved",
12,SD0_PWR_EN,18OD33 IO,G7,VDDIO_SD0_SPI,"IOBLK_G7_REG_SD0_PWR_EN
0x0300_1904","FMUX_GPIO_REG_IOCTRL_SD0_PWR_EN
0x0300_101c",0x3,"IO SD0_PWR_EN function select : 
    0 : SDIO0_PWR_EN 
    3 : XGPIOA[14] (default)
    Others : Reserved",
14,SPK_EN,18OD33 IO,G7,VDDIO_SD0_SPI,"IOBLK_G7_REG_SPK_EN
0x0300_1908","FMUX_GPIO_REG_IOCTRL_SPK_EN
0x0300_1020",0x3,"IO SPK_EN function select : 
    3 : XGPIOA[15] (default)
    Others : Reserved",
15,UART0_TX,18OD33 IO,G7,VDDIO_SD0_SPI,"IOBLK_G7_REG_UART0_TX
0x0300_190c","FMUX_GPIO_REG_IOCTRL_UART0_TX
0x0300_1024",0x0,"IO UART0_TX function select : 
    0 : UART0_TX (default)
    1 : CAM_MCLK1 
    2 : PWM[4] 
    3 : XGPIOA[16] 
    4 : UART1_TX 
    5 : AUX1 
    6 : JTAG_TMS 
    7 : DBG[6] 
    Others : Reserved",
